"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"362845",0,0,3,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,6,0,0,0,20,0,4,2,0,39,1,0,0,9,17,0,0,12,0,0,8,1,1,2,0,9,11,0,0,39,11,0,0
"591966",0,0,1,0,0,0,0,1,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,2,0,2,0,0,1,0,0,0
"302726",0,0,20,3,2,1,0,23,0,0,0,0,0,0,34,0,0,0,0,1,2,2,62,2,3,0,2,0,3,0,0,13,0,2,22,13,1,0,0,0,85,67,0,41,21,472,1,4,0,0,0,0,1,8,0,0,3,1,0,0
"545247",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,1,0,3,0,1,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"570079",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"792450",0,0,4,0,0,1,0,0,0,3,0,0,0,0,7,0,0,0,0,0,1,1,3,0,0,0,0,3,0,0,0,11,0,0,3,4,4,0,0,0,15,5,0,3,9,14,0,1,0,0,3,0,6,6,0,1,2,0,0,0
"584163",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,6,0,0,1,3,3,0,0,3,0,0,1,0,1,1,0,6,2,0,0,3,1,0,0
"1640195",0,0,3,0,0,0,0,1,0,11,0,0,0,0,5,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,4,8,0,0,7,1,21,5,0,12,15,9,0,2,7,8,1,1,1,2,46,0,2,3,0,0,4,6,0,0
"2258522",0,0,5,0,1,0,0,2,0,2,0,0,0,0,6,0,0,0,0,0,5,0,18,3,1,0,0,0,0,0,0,1,0,0,11,5,3,0,0,1,34,12,0,13,4,98,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"251641",0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,10,0,0,0,7,0,0,0,15,0,0,0,0,1,1,0,2,1,0,0,8,1,0,0
"4395046",0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,2,0,0,0,1,0,0,4,0,0,0,1,10,1,0,0,13,6,0,0,11,1,0,2,0,0,4,0,2,3,0,0,4,2,0,0
"794344",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"133382",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,1,1,0,0,0,13,7,0,0,10,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0
"281360",0,0,4,0,3,1,1,27,0,4,0,0,0,0,9,0,1,0,0,0,3,2,34,0,0,0,3,6,5,0,2,18,0,2,23,8,29,3,0,7,15,48,0,6,8,364,2,8,0,0,81,0,13,30,0,0,12,26,0,0
"571311",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0
"661494",0,0,9,0,5,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,18,0,0,3,3,11,0,0,0,44,15,0,3,29,15,0,2,0,0,0,0,8,5,0,0,7,0,0,0
"225546",0,0,1,0,0,1,0,2,0,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,4,0,0,10,3,7,1,0,3,1,8,0,1,0,28,0,0,0,0,12,1,2,8,0,0,9,14,0,0
"555816",0,0,2,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,4,1,0,0,3,5,0,1,2,7,0,2,0,0,7,0,2,0,0,0,2,0,0,0
"2471299",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0
"248505",0,0,1,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,5,0,0
"532163",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,6,2,0,0,6,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0
"1719756",0,0,10,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,20,0,1,0,0,17,1,0,0,29,29,0,0,33,0,0,3,0,0,0,0,13,2,0,0,12,0,0,0
"256335",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,8,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"622731",0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,1,0,0,11,14,0,1,8,0,0,1,0,0,0,0,4,4,0,0,7,0,0,0
"4363347",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"221107",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,2,4,0,1,0,37,0,0,0,0,2,0,0,1,0,0,1,1,0,0
"1140993",0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,39,33,0,0,11,0,0,1,0,0,0,0,10,4,0,0,6,1,0,0
"207153",0,0,7,0,1,0,0,13,0,3,0,0,0,0,15,0,0,0,0,0,2,1,37,2,0,0,3,2,4,0,1,1,0,1,18,11,66,7,0,7,25,51,0,13,2,180,1,2,0,0,26,0,3,9,0,0,29,28,0,0
"318586",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,16,0,0,3,13,0,1,0,0,1,0,1,1,0,0,0,0,0,0
"1637278",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,1,0,1,5,0,5,3,0,0,2,0,0,0
"4336276",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"136268",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"813565",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,0,0,22,13,1,2,0,0,0,0,2,0,0,0,0,0,0,0
"343561",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"574920",0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,4,1,18,0,0,4,0,2,0,1,0,6,0,2,0,0,1,1,5,8,0,0,0,2,0,0
"163003",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,15,0,1,5,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"98258",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
