"","ERR995420","ERR995433","ERR995414","ERR995434","ERR995421","ERR995435","ERR995415","ERR995436","ERR995416","ERR995437","ERR995410","ERR995426","ERR995417","ERR995427","ERR995411","ERR995428","ERR995418","ERR995429","ERR995412","ERR995430","ERR995419","ERR995431","ERR995413","ERR995432"
"275045",0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,12,0,14,0,10,0,13,0,5
"1012494",0,0,0,0,0,0,0,0,0,0,0,246,0,34,0,353,0,176,0,135,0,86,0,108
"647710",0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,2,0,21,0,15,0,5
"557161",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,2,0,0,0,1
"1133925",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
"245663",0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,12,0,26,0,19,0,9,0,4
"3297955",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"817306",0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,15,0,20,0,6,0,1,0,4
"703241",0,0,0,0,0,0,0,0,0,0,0,10,0,37,0,4,0,16,0,20,0,39,0,12
"313480",0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,6,0,13,0,0,0,0,0,3
"574311",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"931098",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,4,0,0
"4413241",0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,5,0,2,0,15,0,5
"651125",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"585965",0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,3
"4477837",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0,0
"558898",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,0
"669611",0,0,0,0,0,0,0,0,0,0,0,6,0,57,0,8,0,16,0,59,0,102,0,28
"741491",0,0,0,0,0,0,0,0,0,0,0,45,0,26,0,17,0,55,0,22,0,31,0,15
"270104",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,2,0,1,0,0,0,0
