"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"610455",2,7,5,6,101,1,6,2,1,0,5,3,11,11,8,13,8,14,0,1,0,0
"250206",1,0,1,0,0,0,1,3,0,0,4,0,3,1,2,3,2,0,1,0,0,0
"816529",0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4426768",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"657452",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"2228274",0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,42,0,0,0
"2096960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"13214",1,2,1,3,2,8,0,1,0,0,2,3,1,0,1,3,5,4,8,0,0,0
"611415",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"753245",0,6,3,0,1,0,1,1,2,4,0,1,0,6,2,0,0,2,0,0,0,0
"4269868",0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,14,0,0,0,0
"823024",0,1,0,18,0,1,1,0,0,0,2,2,1,1,0,1,3,1,0,0,0,1
"743263",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"453630",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"967275",0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"4432662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1084865",2,9,4,0,32,14,1,10,0,6,5,8,0,2,9,6,10,7,36,0,1,0
"838141",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
