Name,TaxLevel,Metabolism
Exiguobacterium,Genus,AerobicResp
Faculative Aerobe,Genus,Ferm
Faculative Anaerobe,Genus,Ferm
Fe III,Genus,Ferm
Fe Ox,Genus,Ferm
Fermentation,Genus,Ferm
Ferrimicrobium,Genus,FeIII_reducer
Ferrimonas,Genus,FeIII_reducer
Ferrithrix,Genus,Fe_oxidizer
Ferroplasma,Genus,Fe_oxidizer
Fervidobacterium,Genus,Ferm
Fibrobacter,Genus,Ferm
Filifactor,Genus,Ferm
Filomicrobium,Genus,AerobicResp
Finegoldia,Genus,Ferm
Flammeovirga,Genus,AerobicResp
Flaviramulus,Genus,AerobicResp
Flavobacterium,Genus,AerobicResp
Flectobacillus,Genus,AerobicResp
Flexibacter,Genus,AerobicResp
Flexistipes,Genus,Ferm
Flexithrix,Genus,AerobicResp
Fluviicola,Genus,AerobicResp
Formosa,Genus,AerobicResp
Francisella,Genus,AerobicResp
Frankia,Genus,AerobicResp
Friedmanniella,Genus,AerobicResp
Frondihabitans,Genus,AerobicResp
Fumarate,Genus,Ferm
Fusibacter,Genus,FeIII_reducer
Fusobacterium,Genus,Ferm
Gaetbulibacter,Genus,AerobicResp
Garciella,Genus,Ferm
Gardnerella,Genus,AerobicResp
Gelidibacter,Genus,AerobicResp
Gemella,Genus,AerobicResp
Gemmata,Genus,AerobicResp
Gemmatimonas,Genus,AerobicResp
Geobacillus,Genus,AerobicResp
Geobacter,Genus,FeIII_reducer
Geofilum,Genus,Ferm
Geothrix,Genus,Ferm
Geotoga,Genus,Ferm
Geovibrio,Genus,FeIII_reducer
Gillisia,Genus,AerobicResp
Glaciecola,Genus,AerobicResp
Gluconacetobacter,Genus,AerobicResp
Gluconobacter,Genus,AerobicResp
Glucose,Genus,Ferm
Glycomyces,Genus,AerobicResp
Gordonia,Genus,AerobicResp
Gracilibacter,Genus,Ferm
Gramella,Genus,AerobicResp
Granulicatella,Genus,AerobicResp
Guggenheimella,Genus,Ferm
H2 Acetogen,Genus,Ferm
H2 Methanogen,Genus,Ferm
H2 Ox,Genus,Ferm
HS- Ox,Genus,Ferm
Haemophilus,Genus,AerobicResp
Hafnia,Genus,AerobicResp
Hahella,Genus,AerobicResp
Haladaptatus,Genus,AerobicResp
Halanaerobacter,Genus,Ferm
Halanaerobium,Genus,Ferm
Haliscomenobacter,Genus,AerobicResp
Haloactinospora,Genus,AerobicResp
Haloarcula,Genus,AerobicResp
Halobacillus,Genus,AerobicResp
Halobacterium,Genus,AerobicResp
Halobaculum,Genus,AerobicResp
Halobellus,Genus,AerobicResp
Halobiforma,Genus,AerobicResp
Halocella,Genus,Ferm
Halococcus,Genus,AerobicResp
Haloferax,Genus,AerobicResp
Halogeometricum,Genus,AerobicResp
Halogranum,Genus,AerobicResp
Halolamina,Genus,AerobicResp
Halomicrobium,Genus,AerobicResp
Halomonas,Genus,AerobicResp
Halonatronum,Genus,Ferm
Halonotius,Genus,AerobicResp
Halopelagius,Genus,AerobicResp
Halorientalis,Genus,AerobicResp
Halorubrum,Genus,AerobicResp
Halorussus,Genus,AerobicResp
Haloterrigena,Genus,AerobicResp
Halothermothrix,Genus,Ferm
Halothiobacillus,Genus,SOB
Helcococcus,Genus,AerobicResp
Herbaspirillum,Genus,AerobicResp
Herbidospora,Genus,AerobicResp
Hespellia,Genus,Ferm
Heterolactic (phosphoketloase),Genus,Ferm
